user_id,Victory_Royale,Elimination_Milestones,Survival_Achievements,Building_Resources,Exploration_Travel,Weapon_Usage,Assist_Teammates,Event_Challenges,Creative_Mode,Social_Achievements
1001,False,True,True,False,False,False,True,True,True,True
1002,True,False,False,False,True,True,False,True,True,False
1003,False,False,True,True,True,False,True,True,False,True
1004,False,False,True,True,True,True,False,False,True,False
1005,True,True,True,True,True,False,False,False,False,False
1006,False,True,False,False,True,False,False,False,False,True
1007,False,True,True,False,True,True,True,False,True,True
1008,False,False,True,True,True,False,True,False,False,False
1009,True,False,True,True,True,False,True,True,False,True
1010,False,True,True,True,True,False,False,False,True,False
1011,True,False,True,True,False,True,True,True,True,False
1012,False,True,False,False,False,True,False,True,False,True
1013,False,True,True,True,True,True,False,False,False,True
1014,True,True,False,False,False,True,False,True,False,True
1015,True,False,True,False,False,False,True,True,False,True
1016,False,False,False,True,False,False,False,False,True,False
1017,False,True,False,True,False,True,False,True,False,True
1018,True,False,True,True,False,False,True,False,False,False
1019,False,True,True,True,False,False,False,True,True,True
1020,False,False,False,False,False,False,False,False,True,True
1021,True,False,False,False,True,False,True,False,True,False
1022,False,True,True,True,True,True,False,False,True,True
1023,True,False,True,False,False,False,False,True,False,True
1024,True,False,False,True,True,False,True,True,True,False
1025,False,True,True,False,False,True,True,True,False,True
1026,True,True,True,True,False,False,False,True,False,False
1027,False,False,False,False,True,False,False,False,True,True
1028,False,True,False,False,False,True,False,False,False,True
1029,True,True,True,False,True,False,True,False,False,True
1030,False,True,True,True,False,False,False,False,True,False
1031,False,False,True,True,True,False,False,False,False,False
1032,False,True,True,False,True,False,False,False,True,False
1033,True,True,False,False,False,False,True,False,True,False
1034,False,False,False,False,False,False,False,True,True,True
1035,True,False,False,False,True,False,False,True,True,True
1036,False,False,False,False,True,True,True,True,False,True
1037,True,True,False,False,False,True,False,True,True,False
1038,False,False,False,False,False,True,True,True,True,True
1039,False,True,True,True,False,True,True,True,True,False
1040,True,False,False,False,True,False,False,False,False,False
1041,True,False,True,False,False,False,False,True,False,False
1042,True,True,False,True,False,False,False,False,True,False
1043,True,True,True,True,False,True,False,False,False,True
1044,True,True,False,True,True,False,True,True,False,False
1045,False,True,False,False,False,True,False,False,True,True
1046,True,True,True,True,True,True,False,True,True,True
1047,True,False,True,True,True,False,False,True,True,False
1048,True,False,True,False,True,True,True,False,True,True
1049,True,True,False,False,True,True,True,True,False,False
1050,False,True,False,False,False,True,False,False,False,False
1051,False,True,False,True,True,True,True,True,True,False
1052,False,True,False,False,True,True,True,False,True,True
1053,False,False,True,False,True,True,False,True,True,False
1054,False,True,True,False,False,False,False,True,False,False
1055,False,True,True,False,True,False,False,False,True,True
1056,True,False,False,True,False,False,True,True,False,False
1057,True,True,True,False,True,False,True,True,True,False
1058,True,False,False,True,True,False,False,True,True,True
1059,False,True,False,True,True,False,False,False,False,True
